Engine-Size,Cylinders,CO2-Emissions
2.4,4,199
3.5,6,252
3.5,6,258
3,6,210
3.5,6,261
2,4,232
2,4,242
3.5,6,196
2.4,4,205
2.4,4,209
3.5,6,228
3.5,6,240
1.8,4,197
1.8,4,197
2,4,205
2,4,217
2.9,6,280
2,4,218
2,4,226
2.9,6,292
4,8,271
5.2,12,312
5.2,12,324
6,12,332
6,12,346
4,8,264
2,4,188
2,4,225
2,4,221
2,4,182
2,4,204
2,4,221
2,4,204
2,4,204
2,4,204
3,6,224
3,6,224
3,6,202
2,4,248
2,4,230
2,4,258
3,6,260
3,6,294
2.5,5,247
2.9,6,262
2.9,6,268
2,4,222
3,6,230
3,6,230
3,6,234
3,6,230
3,6,270
2,4,213
2,4,213
2.5,5,241
2,4,220
4,8,315
6.8,8,465
2,4,207
2,4,202
2,4,194
2,4,207
2,4,207
2,4,213
2,4,207
2,4,207
3,6,227
3,6,256
3,6,235
3,6,228
3,6,256
3,6,228
2,4,207
3,6,231
3,6,248
3,6,241
4.4,8,282
4.4,8,269
4.4,8,282
4.4,8,282
4.4,8,282
3,6,294
3,6,273
3,6,227
3,6,256
3,6,227
3,6,256
3,6,227
3,6,256
3,6,229
3,6,229
3,6,229
3,6,299
3,6,280
3,6,299
3,6,280
3,6,294
3,6,273
3,6,294
3,6,273
3,6,294
4.4,8,324
4.4,8,324
4.4,8,269
4.4,8,344
6.6,12,355
4.4,8,270
4.4,8,269
2,4,217
2,4,222
2,4,223
3,6,245
2,4,223
3,6,245
3,6,245
4.4,8,314
3,6,272
4.4,8,294
4.4,8,341
3,6,254
4.4,8,294
8,16,522
3.6,6,263
3.6,6,278
1.4,4,204
1.4,4,194
1.4,4,214
1.4,4,205
2,4,249
2.5,4,234
3.6,6,233
2.5,4,192
3.6,6,238
2,4,214
2,4,227
3.6,6,251
3,6,267
3.6,6,261
4.2,8,324
2,4,222
3.6,6,246
2,4,232
3.6,6,269
3.6,6,298
6.2,8,337
6.2,8,328
2,4,209
2,4,227
3.6,6,250
3.6,6,263
3.6,6,259
3.6,6,272
3.6,6,302
2.5,4,232
3.6,6,250
3.6,6,265
2,4,220
2,4,235
3.6,6,246
3.6,6,277
